department,state,rti_section,response_days
Reserve Bank of India (RBI),Telangana,Sec 8(1)(d) Commercial,40.6
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,52.6
Tamil Nadu Police Headquarters,Karnataka,Sec 8(1)(j) Privacy,49.9
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,25.4
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(j) Privacy,60.8
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 6(1) General,31.7
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(j) Privacy,56.5
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,21.7
Greater Chennai Corporation,Karnataka,Sec 8(1)(d) Commercial,70.3
Chennai Metro Water (CMWSSB),Maharashtra,Sec 8(1)(j) Privacy,60.1
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,2.0
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 8(1)(j) Privacy,55.5
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,28.5
Employees Provident Fund Organisation (EPFO),Telangana,Sec 6(1) General,55.0
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,44.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,6.1
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Tamil Nadu,Sec 7(1) Life & Liberty,4.5
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 6(1) General,34.4
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,54.1
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,53.6
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,49.5
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,44.2
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,62.8
Greater Chennai Corporation,Delhi,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,5.6
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,55.2
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,49.2
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 6(1) General,33.5
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,52.3
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,73.3
Southern Railway Headquarters,Maharashtra,Sec 7(1) Life & Liberty,5.5
Tamil Nadu Police Headquarters,Delhi,Sec 8(1)(j) Privacy,59.4
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,23.2
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,60.1
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,57.6
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,36.1
Chennai Metro Water (CMWSSB),Telangana,Sec 8(1)(d) Commercial,58.8
Reserve Bank of India (RBI),Maharashtra,Sec 6(1) General,31.8
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,78.2
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,12.0
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(j) Privacy,56.3
TANGEDCO (Electricity Board),Tamil Nadu,Sec 6(1) General,34.6
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(d) Commercial,66.7
Reserve Bank of India (RBI),Karnataka,Sec 6(1) General,14.9
Southern Railway Headquarters,Maharashtra,Sec 6(1) General,44.9
Southern Railway Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,52.1
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Southern Railway Headquarters,Maharashtra,Sec 6(1) General,36.6
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(d) Commercial,52.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,47.6
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,9.6
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(d) Commercial,51.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,51.3
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(j) Privacy,54.6
Tamil Nadu Police Headquarters,Maharashtra,Sec 6(1) General,29.1
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(j) Privacy,44.2
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,15.2
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,29.2
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 6(1) General,31.2
Reserve Bank of India (RBI),Karnataka,Sec 8(1)(j) Privacy,33.3
Greater Chennai Corporation,Maharashtra,Sec 6(1) General,31.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(j) Privacy,41.9
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,61.6
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,63.5
Greater Chennai Corporation,Tamil Nadu,Sec 6(1) General,51.3
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,65.7
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(d) Commercial,55.5
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,69.3
Tamil Nadu Police Headquarters,Maharashtra,Sec 8(1)(j) Privacy,52.4
Greater Chennai Corporation,Delhi,Sec 6(1) General,41.7
TANGEDCO (Electricity Board),Delhi,Sec 8(1)(d) Commercial,47.8
TANGEDCO (Electricity Board),Telangana,Sec 6(1) General,34.0
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,26.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 8(1)(d) Commercial,46.8
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(d) Commercial,55.9
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,2.0
Tamil Nadu Police Headquarters,Telangana,Sec 7(1) Life & Liberty,5.4
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(j) Privacy,67.3
Reserve Bank of India (RBI),Delhi,Sec 8(1)(d) Commercial,48.2
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 7(1) Life & Liberty,4.1
Southern Railway Headquarters,Delhi,Sec 8(1)(j) Privacy,57.3
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,40.2
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,56.3
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,3.1
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(d) Commercial,70.1
TANGEDCO (Electricity Board),Karnataka,Sec 6(1) General,27.4
Greater Chennai Corporation,Karnataka,Sec 8(1)(j) Privacy,66.9
Southern Railway Headquarters,Delhi,Sec 7(1) Life & Liberty,8.6
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,2.8
Southern Railway Headquarters,Tamil Nadu,Sec 6(1) General,49.0
Greater Chennai Corporation,Delhi,Sec 6(1) General,39.6
TANGEDCO (Electricity Board),Tamil Nadu,Sec 7(1) Life & Liberty,4.4
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,69.2
Tamil Nadu Police Headquarters,Delhi,Sec 6(1) General,33.7
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,2.0
Greater Chennai Corporation,Delhi,Sec 6(1) General,53.6
Greater Chennai Corporation,Telangana,Sec 8(1)(d) Commercial,68.6
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(j) Privacy,54.9
Greater Chennai Corporation,Telangana,Sec 6(1) General,51.4
Greater Chennai Corporation,Maharashtra,Sec 8(1)(d) Commercial,75.1
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,11.4
TANGEDCO (Electricity Board),Delhi,Sec 6(1) General,27.0
Southern Railway Headquarters,Karnataka,Sec 6(1) General,45.5
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,3.5
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 8(1)(j) Privacy,56.7
Reserve Bank of India (RBI),Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 6(1) General,50.3
Southern Railway Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(d) Commercial,36.4
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,4.7
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 6(1) General,35.2
Southern Railway Headquarters,Karnataka,Sec 7(1) Life & Liberty,9.6
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,74.9
Tamil Nadu Police Headquarters,Delhi,Sec 7(1) Life & Liberty,3.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(j) Privacy,70.8
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,50.7
Greater Chennai Corporation,Maharashtra,Sec 8(1)(j) Privacy,75.1
Reserve Bank of India (RBI),Maharashtra,Sec 7(1) Life & Liberty,4.7
Tamil Nadu Police Headquarters,Telangana,Sec 6(1) General,25.6
Employees Provident Fund Organisation (EPFO),Maharashtra,Sec 8(1)(j) Privacy,80.6
Greater Chennai Corporation,Karnataka,Sec 8(1)(d) Commercial,69.8
Chennai Metropolitan Development Authority (CMDA),Maharashtra,Sec 8(1)(j) Privacy,47.6
TANGEDCO (Electricity Board),Telangana,Sec 8(1)(j) Privacy,56.8
TANGEDCO (Electricity Board),Maharashtra,Sec 8(1)(j) Privacy,46.7
TANGEDCO (Electricity Board),Karnataka,Sec 8(1)(d) Commercial,39.8
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 8(1)(j) Privacy,47.9
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,58.6
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,21.9
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(d) Commercial,48.3
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(j) Privacy,51.2
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,55.1
Reserve Bank of India (RBI),Tamil Nadu,Sec 8(1)(j) Privacy,46.3
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Karnataka,Sec 7(1) Life & Liberty,2.0
Chennai Metropolitan Development Authority (CMDA),Karnataka,Sec 8(1)(j) Privacy,59.0
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,3.3
Employees Provident Fund Organisation (EPFO),Telangana,Sec 8(1)(j) Privacy,70.6
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,6.8
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,27.4
Chennai Metro Water (CMWSSB),Maharashtra,Sec 6(1) General,34.4
Chennai Metro Water (CMWSSB),Karnataka,Sec 6(1) General,37.8
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 8(1)(d) Commercial,60.9
Employees Provident Fund Organisation (EPFO),Delhi,Sec 8(1)(d) Commercial,76.9
Chennai Metro Water (CMWSSB),Tamil Nadu,Sec 6(1) General,31.8
Chennai Metro Water (CMWSSB),Karnataka,Sec 8(1)(d) Commercial,53.0
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,5.0
Chennai Metro Water (CMWSSB),Delhi,Sec 8(1)(j) Privacy,41.9
Tamil Nadu Police Headquarters,Tamil Nadu,Sec 8(1)(j) Privacy,52.6
Greater Chennai Corporation,Telangana,Sec 8(1)(j) Privacy,55.6
Reserve Bank of India (RBI),Karnataka,Sec 6(1) General,18.6
Greater Chennai Corporation,Delhi,Sec 8(1)(d) Commercial,63.1
Chennai Metropolitan Development Authority (CMDA),Telangana,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Telangana,Sec 7(1) Life & Liberty,2.0
Reserve Bank of India (RBI),Telangana,Sec 6(1) General,18.7
Chennai Metropolitan Development Authority (CMDA),Delhi,Sec 7(1) Life & Liberty,2.0
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,2.0
TANGEDCO (Electricity Board),Maharashtra,Sec 7(1) Life & Liberty,9.5
Greater Chennai Corporation,Karnataka,Sec 7(1) Life & Liberty,8.2
Chennai Metropolitan Development Authority (CMDA),Tamil Nadu,Sec 8(1)(d) Commercial,58.9
Employees Provident Fund Organisation (EPFO),Telangana,Sec 7(1) Life & Liberty,10.1
Reserve Bank of India (RBI),Maharashtra,Sec 8(1)(j) Privacy,52.8
Reserve Bank of India (RBI),Tamil Nadu,Sec 6(1) General,22.2
Southern Railway Headquarters,Maharashtra,Sec 8(1)(d) Commercial,64.4
Employees Provident Fund Organisation (EPFO),Delhi,Sec 7(1) Life & Liberty,4.4
Tamil Nadu Police Headquarters,Telangana,Sec 8(1)(d) Commercial,46.2
